"X" "y" "LF" "species"
"Palicourea_lasiorrhachis" "no" "no" "tree" "Palicourea_lasiorrhachis"
"Palicourea_crocea" "no" "no" "shrub" "Palicourea_crocea"
"Gaertnera_vaginata" "no" "yes" "tree" "Gaertnera_vaginata"
"Faramea_occidentalis" "no" "yes" "tree" "Faramea_occidentalis"
"Coffea_arabica" "no" "yes" "shrub" "Coffea_arabica"
"Coffea_canephora" "no" "yes" "shrub" "Coffea_canephora"
"Pentagonia_macrophylla" "no" "no" "shrub" "Pentagonia_macrophylla"
"Guettarda_platypoda" "no" "no" "shrub" "Guettarda_platypoda"
"Vincetoxicum_hirundinaria" "no" "yes" "herb" "Vincetoxicum_hirundinaria"
"Tabernaemontana_undulata" "no" "yes" "shrub" "Tabernaemontana_undulata"
"Rauvolfia_grandiflora" "no" "yes" "tree" "Rauvolfia_grandiflora"
"Vinca_major" "no" "yes" "herb" "Vinca_major"
"Gentianella_serotina" "no" "yes" "herb" "Gentianella_serotina"
"Frasera_caroliniensis" "yes" "yes" "herb" "Frasera_caroliniensis"
"Frasera_speciosa" "yes" "yes" "herb" "Frasera_speciosa"
"Gentiana_nivalis" "no" "no" "herb" "Gentiana_nivalis"
"Gentiana_pneumonanthe" "no" "yes" "herb" "Gentiana_pneumonanthe"
"Sabatia_angularis" "no" "yes" "herb" "Sabatia_angularis"
"Sabatia_kennedyana" "yes" "yes" "herb" "Sabatia_kennedyana"
"Solanum_confusum" "no" "yes" "shrub" "Solanum_confusum"
"Solanum_luridifuscescens" "no" "yes" "shrub" "Solanum_luridifuscescens"
"Solanum_marginatum" "no" "yes" "herb" "Solanum_marginatum"
"Solanum_glaucophyllum" "no" "yes" "herb" "Solanum_glaucophyllum"
"Solanum_stuckertii" "no" "yes" "shrub" "Solanum_stuckertii"
"Solanum_americanum" "no" "yes" "herb" "Solanum_americanum"
"Lycopersicon_esculentum" "yes" "yes" "herb" "Lycopersicon_esculentum"
"Lycium_barbarum" "no" "yes" "shrub" "Lycium_barbarum"
"Nicotiana_glauca" "no" "no" "shrub" "Nicotiana_glauca"
"Nicotiana_rustica" "no" "yes" "herb" "Nicotiana_rustica"
"Nicotiana_cordifolia" "no" "no" "shrub" "Nicotiana_cordifolia"
"Cestrum_aurantiacum" "no" "yes" "shrub" "Cestrum_aurantiacum"
"Cestrum_parqui" "no" "no" "shrub" "Cestrum_parqui"
"Erica_cinerea" "no" "no" "shrub" "Erica_cinerea"
"Erica_herbacea" "no" "no" "shrub" "Erica_herbacea"
"Erica_tetralix" "no" "yes" "herb" "Erica_tetralix"
"Loiseleuria_procumbens" "no" "no" "herb" "Loiseleuria_procumbens"
"Phyllodoce_aleutica" "no" "yes" "herb" "Phyllodoce_aleutica"
"Cassiope_tetragona" "no" "no" "herb" "Cassiope_tetragona"
"Vaccinium_vitis-idaea" "no" "yes" "herb" "Vaccinium_vitis-idaea"
"Vaccinium_macrocarpon" "yes" "yes" "herb" "Vaccinium_macrocarpon"
"Andromeda_polifolia" "no" "no" "shrub" "Andromeda_polifolia"
"Pyrola_minor" "yes" "yes" "herb" "Pyrola_minor"
"Orthilia_secunda" "yes" "yes" "herb" "Orthilia_secunda"
"Chimaphila_umbellata" "no" "yes" "herb" "Chimaphila_umbellata"
"Arctostaphylos_uva-ursi" "yes" "yes" "shrub" "Arctostaphylos_uva-ursi"
"Arctous_alpina" "no" "no" "herb" "Arctous_alpina"
"Styrax_ferrugineus" "no" "yes" "tree" "Styrax_ferrugineus"
"Primula_farinosa" "no" "yes" "herb" "Primula_farinosa"
"Primula_halleri" "no" "yes" "herb" "Primula_halleri"
"Primula_stricta" "no" "no" "herb" "Primula_stricta"
"Primula_laurentiana" "no" "yes" "herb" "Primula_laurentiana"
"Primula_vulgaris" "no" "yes" "herb" "Primula_vulgaris"
"Primula_elatior" "no" "yes" "herb" "Primula_elatior"
"Lysimachia_maritima" "no" "yes" "herb" "Lysimachia_maritima"
"Anagallis_monelli" "no" "yes" "herb" "Anagallis_monelli"
"Trientalis_borealis" "no" "yes" "herb" "Trientalis_borealis"
"Samolus_valerandi" "no" "no" "herb" "Samolus_valerandi"
"Phlox_bifida" "no" "no" "herb" "Phlox_bifida"
"Phlox_glaberrima" "no" "no" "herb" "Phlox_glaberrima"
"Linanthus_androsaceus" "no" "yes" "herb" "Linanthus_androsaceus"
"Linanthus_grandiflorus" "no" "yes" "herb" "Linanthus_grandiflorus"
"Polemonium_caeruleum" "no" "yes" "herb" "Polemonium_caeruleum"
"Polemonium_micranthum" "no" "no" "herb" "Polemonium_micranthum"
"Polemonium_reptans" "no" "yes" "herb" "Polemonium_reptans"
"Polemonium_viscosum" "no" "yes" "herb" "Polemonium_viscosum"
"Gilia_tenuiflora" "no" "no" "herb" "Gilia_tenuiflora"
"Gilia_ochroleuca" "no" "yes" "herb" "Gilia_ochroleuca"
"Gilia_tricolor" "no" "yes" "herb" "Gilia_tricolor"
"Gilia_angelensis" "no" "yes" "herb" "Gilia_angelensis"
"Gilia_achilleifolia" "no" "yes" "herb" "Gilia_achilleifolia"
"Saltugilia_caruifolia" "no" "yes" "herb" "Saltugilia_caruifolia"
"Saltugilia_grinnellii" "no" "yes" "herb" "Saltugilia_grinnellii"
"Ipomopsis_aggregata" "no" "no" "herb" "Ipomopsis_aggregata"
"Ipomopsis_tenuifolia" "no" "no" "herb" "Ipomopsis_tenuifolia"
"Loeselia_mexicana" "yes" "no" "shrub" "Loeselia_mexicana"
"Cobaea_scandens" "yes" "yes" "shrub" "Cobaea_scandens"
"Impatiens_parviflora" "no" "yes" "herb" "Impatiens_parviflora"
"Lepismium_lumbricoides" "no" "yes" "herb" "Lepismium_lumbricoides"
"Opuntia_phaeacantha" "no" "yes" "shrub" "Opuntia_phaeacantha"
"Opuntia_polyacantha" "no" "yes" "shrub" "Opuntia_polyacantha"
"Opuntia_quimilo" "no" "yes" "shrub" "Opuntia_quimilo"
"Opuntia_rastrera" "no" "yes" "shrub" "Opuntia_rastrera"
"Cylindropuntia_imbricata" "no" "yes" "shrub" "Cylindropuntia_imbricata"
"Claytonia_virginica" "yes" "yes" "herb" "Claytonia_virginica"
"Cistanthe_monosperma" "no" "yes" "herb" "Cistanthe_monosperma"
"Oxybaphus_nyctagineus" "no" "no" "herb" "Oxybaphus_nyctagineus"
"Silene_flos-cuculi" "no" "no" "herb" "Silene_flos-cuculi"
"Silene_involucrata" "yes" "no" "herb" "Silene_involucrata"
"Silene_stellata" "no" "no" "herb" "Silene_stellata"
"Silene_regia" "no" "no" "herb" "Silene_regia"
"Silene_noctiflora" "no" "no" "herb" "Silene_noctiflora"
"Silene_viscaria" "no" "no" "herb" "Silene_viscaria"
"Dianthus_armeria" "no" "no" "herb" "Dianthus_armeria"
"Gypsophila_paniculata" "no" "yes" "shrub" "Gypsophila_paniculata"
"Arenaria_serpyllifolia" "no" "no" "herb" "Arenaria_serpyllifolia"
"Arenaria_biflora" "no" "yes" "herb" "Arenaria_biflora"
"Arenaria_digyna" "no" "no" "herb" "Arenaria_digyna"
"Cerastium_latifolium" "no" "yes" "herb" "Cerastium_latifolium"
"Cerastium_alpinum" "no" "yes" "herb" "Cerastium_alpinum"
"Cerastium_pumilum" "no" "no" "herb" "Cerastium_pumilum"
"Cerastium_diffusum" "no" "no" "herb" "Cerastium_diffusum"
"Cerastium_glomeratum" "no" "no" "herb" "Cerastium_glomeratum"
"Stellaria_longipes" "no" "yes" "herb" "Stellaria_longipes"
"Stellaria_graminea" "no" "yes" "herb" "Stellaria_graminea"
"Stellaria_media" "no" "no" "herb" "Stellaria_media"
"Stellaria_uliginosa" "no" "yes" "herb" "Stellaria_uliginosa"
"Stellaria_pubera" "no" "yes" "herb" "Stellaria_pubera"
"Stellaria_holostea" "no" "yes" "herb" "Stellaria_holostea"
"Honckenya_peploides" "no" "no" "herb" "Honckenya_peploides"
"Minuartia_verna" "no" "yes" "herb" "Minuartia_verna"
"Scleranthus_perennis" "no" "no" "herb" "Scleranthus_perennis"
"Scleranthus_brockiei" "no" "no" "shrub" "Scleranthus_brockiei"
"Scleranthus_annuus" "no" "no" "herb" "Scleranthus_annuus"
"Scleranthus_pungens" "no" "no" "herb" "Scleranthus_pungens"
"Sagina_procumbens" "no" "no" "herb" "Sagina_procumbens"
"Sagina_nivalis" "no" "no" "herb" "Sagina_nivalis"
"Sagina_nodosa" "no" "no" "herb" "Sagina_nodosa"
"Spergularia_media" "no" "yes" "herb" "Spergularia_media"
"Spergularia_marina" "no" "no" "herb" "Spergularia_marina"
"Spergularia_rubra" "no" "yes" "herb" "Spergularia_rubra"
"Spergula_arvensis" "no" "yes" "herb" "Spergula_arvensis"
"Polycarpon_tetraphyllum" "no" "no" "herb" "Polycarpon_tetraphyllum"
"Illecebrum_verticillatum" "no" "no" "herb" "Illecebrum_verticillatum"
"Sarcocornia_quinqueflora" "no" "no" "shrub" "Sarcocornia_quinqueflora"
"Chenopodium_album" "no" "no" "herb" "Chenopodium_album"
"Chenopodium_glaucum" "no" "no" "herb" "Chenopodium_glaucum"
"Polygonum_aviculare" "no" "no" "herb" "Polygonum_aviculare"
"Fallopia_convolvulus" "no" "no" "herb" "Fallopia_convolvulus"
"Rumex_obtusifolius" "yes" "no" "herb" "Rumex_obtusifolius"
"Persicaria_hydropiper" "no" "no" "herb" "Persicaria_hydropiper"
"Persicaria_lapathifolia" "no" "no" "herb" "Persicaria_lapathifolia"
"Fagopyrum_esculentum" "no" "yes" "herb" "Fagopyrum_esculentum"
"Limonium_vulgare" "no" "yes" "herb" "Limonium_vulgare"
"Ligaria_cuneifolia" "no" "no" "herb" "Ligaria_cuneifolia"
"Peraxilla_tetrapetala" "no" "yes" "shrub" "Peraxilla_tetrapetala"
"Curatella_americana" "no" "yes" "tree" "Curatella_americana"
"Trifolium_repens" "no" "yes" "herb" "Trifolium_repens"
"Trifolium_medium" "yes" "yes" "herb" "Trifolium_medium"
"Trifolium_pratense" "yes" "yes" "herb" "Trifolium_pratense"
"Medicago_sativa" "no" "yes" "herb" "Medicago_sativa"
"Vicia_cracca" "yes" "yes" "herb" "Vicia_cracca"
"Lathyrus_odoratus" "yes" "yes" "herb" "Lathyrus_odoratus"
"Astragalus_vexilliflexus" "no" "yes" "herb" "Astragalus_vexilliflexus"
"Oxytropis_besseyi" "no" "yes" "herb" "Oxytropis_besseyi"
"Ornithopus_perpusillus" "no" "no" "herb" "Ornithopus_perpusillus"
"Anthyllis_montana" "no" "yes" "herb" "Anthyllis_montana"
"Erythrina_crista-galli" "no" "no" "tree" "Erythrina_crista-galli"
"Butea_monosperma" "no" "no" "tree" "Butea_monosperma"
"Mucuna_sempervirens" "no" "yes" "shrub" "Mucuna_sempervirens"
"Dillwynia_uncinata" "no" "yes" "herb" "Dillwynia_uncinata"
"Dillwynia_hispida" "no" "yes" "herb" "Dillwynia_hispida"
"Pultenaea_densifolia" "yes" "yes" "shrub" "Pultenaea_densifolia"
"Lupinus_sulphureus" "yes" "yes" "herb" "Lupinus_sulphureus"
"Lupinus_bicolor" "no" "no" "herb" "Lupinus_bicolor"
"Lupinus_nanus" "no" "yes" "herb" "Lupinus_nanus"
"Lupinus_sparsiflorus" "yes" "yes" "herb" "Lupinus_sparsiflorus"
"Lupinus_arizonicus" "yes" "yes" "herb" "Lupinus_arizonicus"
"Lupinus_texensis" "yes" "yes" "herb" "Lupinus_texensis"
